name,level,size,law,moral,ac,hp,perception,fortitude,reflex,willpower,strength,dexterity,constitution,intelligence,wisdom,charisma,acrobatics,arcana,athletics,crafting,deception,diplomacy,intimidation,medicine,nature,occultism,performance,religion,society,stealth,survival,thievery
Watchtower Poltergeist,14,3,3,1,36,190,24,22,27,26,-5,8,2,-1,4,7,29,0,0,0,0,0,30,0,0,0,0,0,0,29,0,0
Abyssal Fungi,2,2,1,1,18,45,6,8,9,6,3,3,2,-2,2,0,0,0,8,0,0,0,0,0,6,0,0,0,0,8,0,0
Onyiji,8,3,3,2,26,140,15,18,14,16,4,2,2,4,2,0,14,16,18,0,0,0,16,0,14,0,0,0,0,0,0,0
Great Cyclops,12,5,1,1,32,235,22,25,19,22,7,1,6,-2,4,-1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,22,0
Seaborn Captain,2,3,1,2,17,30,8,7,6,10,3,2,1,0,4,2,0,0,7,0,6,0,0,0,8,0,0,0,0,0,0,0
War Pony,1,3,2,2,16,20,5,8,7,5,4,4,3,-4,2,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Umbasi,13,3,2,2,33,190,21,20,27,23,3,4,1,4,0,5,0,23,0,0,0,26,0,0,0,25,28,0,0,0,0,0
Kuchisake-Onna,14,3,3,1,36,252,28,22,28,24,4,8,4,5,6,5,28,0,22,0,0,0,27,0,0,0,0,0,0,26,0,0
Fleshwarp Apprentice,1,3,2,1,15,14,4,8,9,10,0,2,1,4,1,1,0,7,0,0,0,0,0,0,0,5,0,0,0,5,0,7
Seugathi Guard,6,4,1,1,23,75,14,14,17,12,2,5,2,2,4,5,15,0,0,12,0,0,15,0,0,12,0,0,0,13,10,0
Profane Ghoul,10,3,2,1,30,180,19,17,22,19,3,6,5,3,5,5,22,0,17,0,0,0,0,0,0,0,0,19,0,20,0,0
Bone Shard Tough,0,3,2,1,15,20,6,6,7,4,1,3,2,0,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Mutant Bat,5,5,2,2,22,75,16,13,12,11,5,2,4,-4,4,-2,13,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0
Skeletal Champion,2,3,2,1,19,25,8,7,10,6,4,4,1,-1,2,1,8,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0
Grogrisant,16,5,1,2,38,295,30,30,28,25,9,6,9,-2,5,5,28,0,35,0,0,0,32,0,0,0,0,0,0,28,28,0
Quetzalcoatlus,7,5,2,2,25,110,15,16,17,12,6,4,3,-4,2,-1,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Washboard Dog Tough,7,3,2,2,25,125,17,17,16,13,4,3,4,0,2,0,0,0,17,0,0,0,13,0,0,0,0,0,0,0,0,0
Boar,2,3,2,2,18,30,8,10,5,8,4,1,4,-4,2,-3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0
Ogre Warrior,3,4,1,1,17,50,5,11,6,5,5,-1,4,-2,0,-2,0,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0
Leng Ghoul,10,3,1,1,29,180,19,18,21,19,5,7,5,3,5,6,21,19,19,0,0,0,0,0,0,21,0,19,0,21,0,0
Dockhand,0,3,2,2,14,20,3,7,5,3,3,1,3,0,1,1,3,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0
Enraged Raven Swarm,4,4,2,2,18,45,10,10,12,8,1,4,2,-4,3,-1,12,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0
Ravenile Rager,14,4,2,1,24,306,25,29,26,23,8,4,5,-1,1,0,25,0,28,0,0,0,28,0,23,0,0,0,0,0,23,0
Elemental Avalanche,11,5,2,2,32,215,20,26,17,21,7,-1,8,0,3,-1,0,0,24,0,0,0,0,0,0,0,0,0,0,14,0,0
Faceless Stalker,4,3,1,1,21,60,10,9,9,12,4,3,3,0,2,3,12,0,12,0,13,0,0,0,0,0,0,0,0,13,0,9
Meliosa's Leshy Mint Leshy,2,3,2,2,18,30,8,8,10,6,2,4,2,-1,2,0,0,0,6,0,0,0,0,0,6,0,0,0,0,8,0,0
Seething Spirit,11,3,1,1,29,145,15,17,23,21,-5,6,0,2,-2,7,21,0,0,0,20,-5,24,0,0,0,0,0,0,21,0,0
Tatterthread,20,4,1,1,46,400,39,35,30,36,7,6,7,10,6,7,0,0,0,0,35,0,37,0,0,38,0,32,0,36,0,34
Black Whale Guard,12,3,3,2,32,230,23,23,21,18,5,3,5,-1,0,4,0,0,23,0,0,0,24,0,0,0,0,0,0,0,0,0
Quickling,3,2,1,1,22,25,9,6,13,8,0,4,1,3,1,3,13,0,0,8,8,0,0,0,8,0,0,0,0,11,6,11
Kvernknurr,5,4,1,1,22,80,12,15,12,9,5,2,4,-1,1,-2,0,0,13,0,0,0,13,0,0,0,0,0,0,10,0,0
Mindmoppet,5,1,3,2,21,75,12,9,12,15,2,4,2,5,3,2,13,0,0,14,11,0,11,10,0,14,0,0,14,13,0,13
Speakers to the Wind Gnoll Cascade Bearer,13,3,2,2,31,260,27,23,24,23,3,3,4,5,2,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Theletos,7,3,3,2,25,125,18,16,13,18,4,4,3,3,5,3,0,16,0,0,0,0,16,0,0,0,0,18,0,15,0,0
Anadi Sage,4,3,1,3,21,58,12,8,11,14,0,2,0,1,4,2,0,0,12,10,8,10,0,0,12,0,0,0,0,0,10,0
Shadowforged Guardian,10,3,2,2,29,170,18,19,21,14,7,5,3,-5,0,-5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Muckish Creep,8,3,2,1,27,160,18,20,15,12,6,3,4,0,0,1,15,0,18,0,0,0,0,0,0,0,0,0,0,17,0,0
Bunyip,3,3,2,2,19,45,10,9,12,6,4,3,4,-4,1,-1,0,0,11,0,0,0,0,0,0,0,0,0,0,10,8,0
Greater Barghest,7,4,1,1,25,105,16,17,15,12,6,2,4,3,3,5,15,0,15,0,18,14,16,0,0,0,0,0,0,15,14,0
The Knurly Witch,20,4,1,1,45,324,38,32,35,38,6,4,4,1,4,3,35,0,34,0,37,0,34,0,36,35,0,38,0,0,0,0
Chained Drained Troll,4,4,1,1,19,96,10,15,10,6,4,2,6,-2,0,-2,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
Hobgoblin Archer,4,3,3,1,23,50,10,10,12,8,2,4,2,0,2,-1,8,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0
Ogre Glutton,4,4,1,1,18,70,6,14,7,6,6,-1,4,-2,0,-2,0,0,12,0,0,0,10,0,0,0,0,0,0,0,6,0
Pyrogeist,10,4,1,1,29,130,20,16,19,18,-5,7,0,-1,3,5,22,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0
Witchfire Warden,9,3,1,1,28,125,18,15,21,18,-5,6,0,3,3,6,17,0,0,0,19,0,21,0,0,18,0,0,0,19,0,0
Ghost Pirate Captain,8,3,1,1,26,100,17,14,18,15,-5,6,0,2,3,5,18,0,0,0,0,15,17,0,0,0,0,0,0,0,0,0
Old Thrasher,8,4,2,2,26,140,16,18,16,15,6,2,4,-5,3,-2,0,0,18,0,0,0,0,0,0,0,0,0,0,16,0,0
Adult Forest Dragon,14,5,1,1,36,290,25,25,22,27,7,3,4,3,5,4,21,0,27,0,24,0,26,0,25,0,0,0,0,21,23,0
Nuckelavee,9,4,2,1,28,190,16,19,16,20,6,3,4,1,3,4,0,0,19,0,0,0,19,0,16,0,0,0,0,18,16,0
Resin-seep Xulgath,10,3,1,1,30,195,19,19,23,17,4,5,3,1,3,0,23,0,20,0,0,0,16,0,0,0,0,0,0,0,19,21
Blackfrost Guecubu,8,3,1,1,27,110,15,17,16,15,6,4,3,4,3,3,16,0,18,0,0,0,15,0,0,0,0,0,0,16,0,0
Clockwork Gunner,8,3,2,2,26,100,16,14,18,16,4,6,2,-5,4,-5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Gahlepod,7,2,1,1,24,140,13,17,19,14,4,6,4,-4,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
Frost Troll,4,4,1,1,19,90,12,13,10,8,5,2,5,0,2,2,0,0,13,0,0,0,10,0,0,0,0,0,0,0,10,0
Nuglub,2,2,1,1,18,34,5,9,10,5,1,4,3,-1,-1,1,8,0,0,5,0,0,7,0,0,0,0,0,0,8,0,0
Nox,4,3,2,2,21,60,11,8,13,11,1,3,0,0,3,4,11,0,0,0,10,0,0,0,0,0,12,0,8,11,0,0
Mi-Go,6,3,2,1,24,120,14,13,17,14,2,5,3,5,4,2,13,15,12,0,14,0,0,17,0,15,0,14,0,13,0,13
Bugbear Creeper,-1,3,2,1,14,8,4,6,5,2,0,2,3,-1,1,0,3,0,3,0,0,0,1,0,0,0,0,0,0,5,0,0
Augur,1,1,3,1,17,14,8,4,10,7,-1,3,1,2,1,-1,8,0,0,0,6,0,7,0,0,0,0,4,0,8,0,0
Agorron Guard,15,4,2,1,36,340,29,29,23,26,8,3,8,3,7,4,0,0,30,0,0,0,28,30,0,0,0,30,0,0,0,0
Gluttonyspawn,2,3,2,1,18,30,10,10,9,6,4,3,4,0,2,1,9,0,8,0,0,0,0,0,0,0,0,0,0,9,10,0
The Vanish Man,16,3,2,1,39,265,28,29,28,27,9,5,6,1,4,7,29,0,33,0,33,0,29,0,0,0,0,0,0,31,0,0
Marid,9,4,1,2,28,145,18,18,21,17,5,5,4,1,3,3,0,0,20,16,0,19,0,0,18,0,16,0,14,18,0,0
Wooly Rhinoceros,6,4,2,2,25,100,11,17,11,15,6,1,5,-4,3,-1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,13,0
Grioth Cultist,3,3,1,1,18,40,10,7,10,10,0,3,2,2,3,0,8,0,0,0,0,0,0,0,0,9,0,10,0,10,0,0
Kob Moleg,16,4,1,1,39,295,27,30,27,27,9,5,6,1,5,6,0,0,31,0,0,0,30,0,0,0,0,0,0,0,29,0
Animated Leather Armor,1,3,2,2,15,20,5,7,5,3,2,0,4,-5,0,-5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Yithian,9,4,3,2,27,112,21,19,14,20,4,1,4,6,5,1,0,19,0,0,0,14,0,0,18,21,0,0,19,0,0,0
Warsworn,16,6,2,1,37,350,27,29,25,27,9,5,7,-1,5,5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibtas Bounder,5,2,1,2,22,76,13,13,13,11,5,4,2,-3,2,2,11,0,12,0,0,0,11,0,0,0,0,0,0,0,11,0
Ninth Army Burglar,4,3,2,1,21,60,10,7,12,10,2,4,1,1,2,1,10,0,8,0,7,0,0,0,0,0,0,0,7,12,0,12
Cranium Preserver,10,4,2,1,28,220,19,22,16,19,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0
Living Rune Primal,13,2,3,2,34,245,25,20,23,27,1,6,1,8,8,5,0,0,0,0,24,0,0,0,0,0,0,0,0,25,0,0
Diobel Sweeper Tough,7,3,2,2,24,125,17,17,17,13,4,4,4,0,2,0,0,0,17,0,0,0,13,0,0,0,0,0,0,0,0,0
Giant Mining Bee,2,2,2,2,18,30,9,9,11,5,4,3,1,-5,1,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nessian Warhound,9,4,3,1,28,150,19,21,19,16,6,5,5,-2,4,-2,18,0,19,0,0,0,0,0,0,0,0,0,0,18,20,0
Kalavakus,10,3,1,1,30,200,19,21,17,19,7,1,5,2,3,3,15,0,23,0,0,0,22,0,0,0,0,17,0,19,0,0
Xulgath Warrior,1,3,1,1,16,21,6,8,7,4,4,2,3,-1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Vengeful Ember Fox,2,2,2,2,18,35,8,6,10,8,1,4,2,-2,2,1,8,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0
Skeletal Mage,5,3,2,1,21,60,9,9,11,13,2,4,0,-1,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Mari Lwyd,11,4,1,2,30,190,21,24,21,18,7,3,5,4,2,6,0,0,23,0,0,19,21,0,0,0,21,0,0,0,0,20
Orc Brute,0,3,1,1,15,15,5,6,4,2,3,2,3,-1,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
Terwa Prodigy,6,3,2,2,23,100,17,13,15,15,2,5,4,3,5,2,15,13,0,0,0,0,0,13,15,0,0,0,0,0,15,0
Jaul's Wolf,4,3,2,2,21,60,11,10,13,9,5,3,2,-4,3,0,9,0,11,0,0,0,0,0,0,0,0,0,0,11,9,0
Werecrocodile,2,4,2,1,16,55,7,9,5,9,4,1,3,0,3,1,0,0,8,0,0,0,7,0,0,0,0,0,0,5,0,0
Nugrah,5,3,2,1,17,75,14,10,6,15,1,0,2,0,5,4,0,0,0,0,11,0,13,0,12,0,0,0,0,9,12,0
Abendego Brute,8,3,2,1,27,135,15,19,15,14,4,2,4,-1,3,2,0,0,18,0,0,0,16,0,0,0,0,0,0,14,15,0
Unrisen,11,3,2,1,28,220,21,22,17,21,7,4,5,-2,6,3,0,0,24,0,0,0,0,0,0,0,0,0,0,19,0,0
Ravenous Giant Centipede,1,3,2,2,17,20,6,6,8,4,-1,3,1,-5,1,-4,8,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0
River Elasmosaurus,11,5,2,2,31,195,21,23,18,21,7,5,6,-4,6,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Kobold Tunnelrunner,0,2,3,1,16,16,6,6,9,4,1,3,2,0,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Fleshforge Dreg Leaping Charge,3,3,2,2,19,45,6,9,9,6,4,3,3,-3,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0
Hollow Husk,5,3,2,1,20,130,9,15,9,11,5,-1,4,-5,0,-2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Sea Dragon,17,6,1,3,41,350,30,29,32,27,8,7,5,3,5,4,32,26,33,0,25,0,27,0,28,0,0,0,26,32,26,0
Baobhan Sith,6,3,1,1,24,105,12,12,17,14,3,5,2,2,2,5,15,0,0,0,15,0,0,0,12,0,15,0,0,15,0,0
Kraken,18,6,2,1,42,360,34,35,28,32,9,4,9,5,6,5,0,0,38,0,0,0,32,0,35,0,0,0,0,33,0,0
Otyugh,4,4,2,2,20,70,10,12,8,10,6,2,4,-2,2,-2,8,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0
Nosferatu Thrall,8,3,2,1,27,135,16,16,17,14,4,3,2,2,2,1,13,0,14,0,15,0,0,0,0,0,0,14,0,0,0,0
Ilssrah Embermead,15,3,2,1,40,270,29,27,24,30,6,4,5,4,8,5,25,0,27,0,26,0,28,0,0,0,0,31,0,0,0,0
Pixie,4,2,1,2,23,40,12,8,14,12,-1,5,1,3,2,3,13,0,0,0,11,0,0,0,10,0,0,0,0,11,0,0
Fire Wisp,0,1,2,2,16,18,6,6,7,4,2,3,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Relictner Eroder,12,3,3,1,32,265,23,25,18,21,7,2,7,4,5,1,0,0,25,22,0,0,19,0,0,0,0,0,0,0,23,20
Roper,10,4,1,1,29,215,21,20,15,21,6,1,6,1,3,1,0,0,22,0,0,0,0,0,17,0,0,19,0,17,0,0
Lekmek,3,2,3,1,16,56,8,10,7,8,4,0,3,0,1,2,0,0,11,7,0,0,9,0,0,0,0,0,0,0,8,0
Giant Tapir,2,4,2,2,18,30,8,11,7,6,4,1,3,-4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0
Glass Sentry,6,3,2,2,24,94,14,16,12,14,5,2,4,0,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Sacristan,10,3,3,1,30,175,19,22,19,17,6,5,6,0,3,2,19,0,22,0,0,0,18,0,0,0,0,0,0,21,0,0
Doblagub,13,4,1,1,35,250,26,23,18,26,8,3,6,2,5,7,0,0,25,0,28,0,28,0,26,0,0,0,0,0,24,0
Kralgurn,14,3,3,1,36,255,24,28,22,25,8,4,4,0,4,3,0,0,28,0,0,0,28,0,0,25,0,0,0,0,0,0
Kanker,2,1,1,2,20,23,8,7,10,6,-2,4,3,0,2,0,8,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0
Azarketi Explorer,2,3,1,2,18,30,8,10,7,6,4,1,2,0,0,3,5,0,8,0,7,7,7,0,4,0,0,0,4,0,0,0
Meliosa's Leshy,2,2,2,2,18,30,8,8,10,6,2,4,2,-1,2,0,0,0,6,0,0,0,0,0,6,0,0,0,0,8,0,0
Eloko,7,2,2,1,25,115,15,12,18,15,6,5,1,0,4,1,0,0,18,13,15,0,0,0,13,0,0,0,0,16,13,0
Thoqqua,2,3,2,2,17,45,7,8,7,5,3,1,2,-2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Belker,6,4,2,1,25,78,14,13,17,12,2,5,3,-2,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
Vice-Chancellor Vikroti Stroh,18,3,3,1,39,245,33,27,28,36,4,6,5,9,9,6,0,35,0,35,31,31,31,0,0,0,0,35,35,31,0,0
Clockwork Spy,-1,1,2,2,17,8,8,2,7,4,-1,3,0,-5,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nkiruka,14,3,2,2,36,260,25,24,26,25,0,4,4,3,1,6,24,25,0,0,28,28,28,0,0,25,28,23,25,0,0,0
Meliosa's Leshy Golden Bamboo,2,2,2,2,18,30,8,8,10,6,2,4,2,-1,2,0,0,0,6,0,0,0,0,0,6,0,0,0,0,8,0,0
Ioton,0,1,2,2,14,14,3,7,6,3,-5,2,3,0,-1,-3,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Sanzuwu,15,1,2,2,36,295,26,26,29,23,4,8,6,4,5,4,30,0,27,0,0,25,0,0,0,0,0,0,0,0,0,0
Froglegs,8,2,2,1,27,135,16,14,18,16,3,4,0,1,2,4,16,0,15,0,16,0,16,0,0,0,0,0,0,16,0,18
Amihan,15,3,2,2,37,275,21,25,28,21,4,5,4,0,0,5,30,0,27,0,0,0,28,0,0,0,32,0,0,0,0,0
Viper Vine,13,4,2,2,33,270,22,26,24,22,8,5,7,-4,5,-3,0,0,27,0,0,0,0,0,0,0,0,0,0,24,0,0
Adult Black Dragon,11,4,1,1,31,215,22,23,18,21,7,3,5,2,3,3,18,19,24,0,20,0,20,0,0,0,0,0,0,20,0,0
"Grace ""The Rhino"" Owano",10,3,1,2,29,175,19,21,19,16,5,3,3,0,0,4,19,0,21,0,18,0,20,0,0,0,0,0,0,17,0,0
Stone Lion Cub,2,3,2,3,18,28,10,6,7,10,3,3,0,1,4,0,7,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0
Abbot Tsujon,18,3,3,2,44,350,33,33,36,34,5,8,5,5,6,5,36,0,33,0,33,31,0,0,0,33,0,34,0,0,0,0
Quatoid,7,2,3,2,25,120,18,13,15,18,4,2,0,4,3,1,0,0,15,0,0,12,0,0,0,17,0,0,17,13,0,0
Abendego Jailers,10,3,2,1,30,175,19,20,21,17,5,4,1,0,3,2,20,0,21,0,0,0,18,0,0,0,0,0,0,0,0,20
Charau-ka Butcher,6,2,1,1,23,95,11,17,12,13,5,3,3,0,1,2,11,0,15,0,0,0,14,0,0,0,0,9,0,13,0,0
Watch Officer,3,3,3,2,20,45,8,10,6,8,4,1,3,0,1,1,0,0,11,0,0,6,9,0,0,0,0,0,5,0,0,0
Necromunculus,0,1,2,1,16,20,5,3,6,3,-1,2,1,0,1,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Thorn River Bandit,-1,3,1,1,14,8,2,5,6,2,1,2,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,4,0,0
Chupacabra,3,2,2,2,20,45,9,9,11,7,3,4,2,-3,2,-2,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Cloaker,5,4,1,2,22,80,12,13,12,12,5,3,4,2,3,1,0,0,0,0,14,0,0,0,0,0,0,12,0,14,0,0
Animated Guardian Warrior,3,3,2,2,19,35,9,12,5,5,4,-2,5,-5,0,-5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Crackjaw,5,3,2,2,23,78,11,15,9,13,5,2,4,-4,4,-2,0,0,12,0,0,0,0,0,0,0,0,0,0,11,0,0
Pokmit Bloody-Pike,18,3,2,2,42,335,31,32,30,29,9,6,6,5,5,7,0,0,35,0,0,0,33,0,0,0,0,31,31,0,0,0
Flesh Golem,8,4,2,2,26,140,12,18,14,15,5,-1,3,-5,0,-5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Flaming Skull,2,1,2,1,18,30,9,5,10,7,1,4,1,-5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rain-Scribe,4,3,2,3,21,54,13,9,9,12,2,3,1,1,4,0,9,7,8,0,0,0,0,0,12,0,0,0,0,11,12,0
Korog,16,3,2,1,39,295,29,30,27,27,8,5,4,2,5,4,29,0,33,0,0,0,30,0,0,0,0,29,0,0,29,0
Goblin War Chanter,1,2,1,1,17,16,5,7,8,5,2,3,2,1,0,4,6,0,0,0,7,0,0,0,0,4,7,0,0,6,0,0
Fiery Leopard,1,3,2,2,17,20,6,6,8,4,1,3,1,-4,1,-2,8,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0
Xulgath Hardscale,12,3,1,1,32,215,21,25,22,19,5,3,4,0,3,1,19,0,23,0,0,19,21,0,19,0,0,0,0,19,21,0
Boss Skrawng,1,2,3,1,16,24,7,4,9,8,1,4,1,0,2,1,7,0,0,0,0,4,0,0,5,0,0,0,0,7,0,7
